year,ticker,profit,sales
2010,CACI,106.515,3149.131
2010,CAGAQ,-0.566,310.098
2010,CAMP,-3.283,114.333
2010,0176A,,
2010,0176A,573,3749
2010,CWT,37.656,460.399
2010,CPB,844,7676
2010,STZ,559.5,3332
2010,CPTP,1.502,6.943
2010,CAH,642.2,98502.8
2010,CSL,145.6,2527.7
2010,DUK8,856,10190
2010,CRS,2.1,1198.6
2010,TAST1,11.922,796.144
2010,CASC.2,21.406,409.858
2010,CASY,94.623,5140.24
2010,CTAM,-5.64,943.706
2010,DOLE.1,-34.124,6892.614
2010,CAT,2700,42588
2010,CATO,57.739,925.528
2010,CVCO,2.831,171.827
2010,RFIL,1.22,16.322
2010,ABAT,36.726,97.129
2010,BBVA1,,
2010,BBVA1,,
2010,CTNR,1.022,4.138
2010,CHG,39.474,972.305
2010,CNL,255.391,1148.666
2010,AEP11,68.267,892.465
2010,CSTW,4.6,708.7
2010,CV,20.954,341.925
2010,LUMN,947.705,7041.534
2010,CRDN,29.276,402.938
2010,CYDI,-0.751,0.82
2010,3089B,10.978,3921.059
2010,CHRS.1,-53.982,2061.819
2010,MGLN,138.659,2969.24
2010,CMD,19.941,273.952
2010,CKP,27.371,834.498
2010,CHE,81.831,1280.545
2010,JPM,,
2010,JPM,17370,115475
2010,CPK,26.056,427.546
2010,CLSN,-18.818,0
2010,CVX,19024,189607
2010,CVR,0.606,28.521
2010,EAT,137.704,2858.498
2010,CB.1,2174,13284
2010,CB.1,,
2010,CHD,270.717,2589.22
2010,CHDN,16.446,585.345
2010,CHYR,-2.396,27.727
2010,CBB,28.3,1377
2010,CIN1,-441,3329
2010,CTAS,246.989,3810.384
2010,CRBC,,
2010,CRBC,-292.925,579.103
2010,CYN.1,,
2010,CYN.1,131.177,1176.532
2010,CLC,96.081,1011.429
2010,IHRT,-479.089,5865.685
2010,CLF,1019.9,4694.3
2010,CLX,603,5534
2010,CRV,0.152,108.6
2010,FMYR,,
2010,COKE,36.057,1514.599
2010,KO,11809,35119
2010,CDE,-91.308,515.457
2010,COHR,36.916,605.067
2010,COHU,24.644,322.667
2010,OMED,,
2010,CL,2203,15564
2010,CCOM,0.106,80.056
2010,CGP1,143,410
2010,CCF,12.516,118.743
2010,AEP8,230.223,2149.041
2010,CMRO,-5.974,28.949
2010,CMCSA,3635,37937
2010,CDCO,-3.278,0
2010,CMA,277,2642
2010,CMA,,
2010,CBSH,,
2010,CBSH,221.71,1134.804
2010,C,10602,111465
2010,C,,
2010,CMC,-205.344,6306.102
2010,CTIG,-3.328,15.236
2010,JCS,9.715,120.072
2010,CAR,54,5185
2010,CHCR,-10.426,35.214
2010,CA,827,4429
2010,DXC,740,16042
2010,CTG,8.372,331.407
2010,CMTL,60.63,778.205
2010,CAG,817,12303.1
2010,UMAX,,
2010,RAVE,1.164,40.87
2010,SSTK,18.938,82.973
2010,LGZ,-4.024,121.571
2010,NU1,244.143,2999.102
2010,CTWS,9.798,67.15
2010,CNLG,-24.911,1.179
2010,TCI,-67.196,134.091
2010,TCI,,
2010,ED,1003,13325
2010,CNW,3.985,4952
2010,BH,28.094,673.781
2010,CTO,-0.603,13.411
2010,CTO,,
2010,CMS,340,6432
2010,CUO,-0.381,114.284
2010,CLR,168.255,839.065
